FIPS,FIPSTEXT,y17_M001_valueText,y17_M001_classRange,y17_M001_valueNumeric,y17_M002_valueText,y17_M002_classRange,y17_M002_valueNumeric,y17_M003_valueText,y17_M003_classRange,y17_M003_valueNumeric,y17_M004_valueText,y17_M004_classRange,y17_M004_valueNumeric,y17_M005_valueText,y17_M005_classRange,y17_M005_valueNumeric,y17_M006_valueText,y17_M006_classRange,y17_M006_valueNumeric,y17_M007_valueText,y17_M007_classRange,y17_M007_valueNumeric,y17_M008_valueText,y17_M008_classRange,y17_M008_valueNumeric,y17_M009_valueText,y17_M009_classRange,y17_M009_valueNumeric,y17_M010_valueText,y17_M010_classRange,y17_M010_valueNumeric,y17_M058_valueText,y17_M058_classRange,y17_M058_valueNumeric,y17_M059_valueText,y17_M059_classRange,y17_M059_valueNumeric,y17_M060_valueText,y17_M060_classRange,y17_M060_valueNumeric,y17_M061_valueText,y17_M061_classRange,y17_M061_valueNumeric,y17_M062_valueText,y17_M062_classRange,y17_M062_valueNumeric,y17_M063_valueText,y17_M063_classRange,y17_M063_valueNumeric,y17_M064_valueText,y17_M064_classRange,y17_M064_valueNumeric,y17_M065_valueText,y17_M065_classRange,y17_M065_valueNumeric,y17_M066_valueText,y17_M066_classRange,y17_M066_valueNumeric,y17_M067_valueText,y17_M067_classRange,y17_M067_valueNumeric,y17_M068_valueText,y17_M068_classRange,y17_M068_valueNumeric,y17_M069_valueText,y17_M069_classRange,y17_M069_valueNumeric,y17_M070_valueText,y17_M070_classRange,y17_M070_valueNumeric,y17_M071_valueText,y17_M071_classRange,y17_M071_valueNumeric,y17_M076_valueText,y17_M076_classRange,y17_M076_valueNumeric,y17_M077_valueText,y17_M077_classRange,y17_M077_valueNumeric,y17_M078_valueText,y17_M078_classRange,y17_M078_valueNumeric,y17_M079_valueText,y17_M079_classRange,y17_M079_valueNumeric,y17_M080_valueText,y17_M080_classRange,y17_M080_valueNumeric,y17_M081_valueText,y17_M081_classRange,y17_M081_valueNumeric,y17_M082_valueText,y17_M082_classRange,y17_M082_valueNumeric,y17_M083_valueText,y17_M083_classRange,y17_M083_valueNumeric,y17_M091_valueText,y17_M091_classRange,y17_M091_valueNumeric,y17_M092_valueText,y17_M092_classRange,y17_M092_valueNumeric,y17_M093_valueText,y17_M093_classRange,y17_M093_valueNumeric,y17_M201_valueText,y17_M201_classRange,y17_M201_valueNumeric
20189,20189,377,250 - 499,377.00,0.53,Negligible Change,0.53,1208,"500 - 1,999",1208.00,-1.42,Sparse Data,-1.42,1.00,Sparse Data,1.00,0.60,Negligible Change,0.60,0.39,Sparse Data,0.39,-0.25,Sparse Data,-0.25,0.73,Sparse Data,0.73,-0.33,Sparse Data,-0.33,0.00,Sparse Data,0.00,97.9,90 or more,97.90,-0.16,Negligible Change,-0.16,30.39,25 - 39,30.39,0.15,Negligible Change,0.15,79.49,75 or more,79.49,81.22,80 or more,81.22,-0.03,Sparse Data,-0.03,52.24,40 - 59,52.24,57.89,40 - 59,57.89,18.75,15 - 29,18.75,0.82,Less than 1,0.82,11.75,9 - 13,11.75,58.54,50 - 64,58.54,62.44,60 - 69,62.44,(D),50 - 64,,0.65,Less than 5,0.65,32.35,30 - 39,32.35,0.67,Less than 1,0.67,80.39,75 - 89,80.39,3.49,Less than 5,3.49,7.59,5 - 9,7.59,69.23,Less than 75,69.23,13.79,10 - 14,13.79,4.77,2 - 4,4.77,71.62,65 - 74,71.62
20191,20191,953,750 - 999,953.00,-0.47,Negligible Change,-0.47,795,"500 - 1,999",795.00,0.15,Negligible Change,0.15,0.02,Sparse Data,0.02,-0.71,Negligible Change,-0.71,-0.42,Negligible Change,-0.42,-0.72,Negligible Change,-0.72,-0.43,Negligible Change,-0.43,0.37,Negligible Change,0.37,0.18,Negligible Change,0.18,100.2,90 or more,100.20,1.39,Slight Increase,1.39,3.39,1 - 4,3.39,0.21,Negligible Change,0.21,83.35,75 or more,83.35,83.18,80 or more,83.18,0.32,Negligible Change,0.32,78.84,60 - 79,78.84,4.30,Less than 5,4.30,13.60,Less than 15,13.60,0.00,Less than 1,0.00,0.73,Less than 1,0.73,72.31,65 or more,72.31,80.18,80 or more,80.18,79.33,75 or more,79.33,0.61,Less than 5,0.61,24.59,20 - 29,24.59,1.47,1 - 4,1.47,76.15,75 - 89,76.15,1.83,Less than 5,1.83,13.71,10 - 24,13.71,86.46,85 - 89,86.46,6.19,5 - 9,6.19,3.78,2 - 4,3.78,77.75,75 - 84,77.75
20193,20193,402,250 - 499,402.00,-0.45,Negligible Change,-0.45,1667,"500 - 1,999",1667.00,-0.22,Sparse Data,-0.22,-0.45,Sparse Data,-0.45,-0.47,Sparse Data,-0.47,-0.69,Sparse Data,-0.69,-0.22,Sparse Data,-0.22,-0.14,Sparse Data,-0.14,0.02,Sparse Data,0.02,-0.03,Sparse Data,-0.03,97.4,90 or more,97.40,-0.34,Negligible Change,-0.34,12.15,10 - 24,12.15,-0.04,Sparse Data,-0.04,82.80,75 or more,82.80,85.01,80 or more,85.01,0.01,Sparse Data,0.01,57.69,40 - 59,57.69,20.93,20 - 39,20.93,14.35,Less than 15,14.35,0.56,Less than 1,0.56,2.34,1 - 2,2.34,60.20,50 - 64,60.20,67.23,60 - 69,67.23,(D),65 - 74,,0.91,Less than 5,0.91,13.35,10 - 19,13.35,0.57,Less than 1,0.57,74.50,65 - 74,74.50,0.14,Less than 5,0.14,9.24,5 - 9,9.24,75.12,75 - 84,75.12,10.45,10 - 14,10.45,11.44,10 - 14,11.44,84.83,75 - 84,84.83
20195,20195,343,250 - 499,343.00,-0.38,Sparse Data,-0.38,1503,"500 - 1,999",1503.00,-0.55,Sparse Data,-0.55,0.15,Sparse Data,0.15,-0.72,Sparse Data,-0.72,-0.29,Sparse Data,-0.29,-0.57,Sparse Data,-0.57,-0.51,Sparse Data,-0.51,0.55,Negligible Change,0.55,0.49,Negligible Change,0.49,90.5,90 or more,90.50,-0.63,Sparse Data,-0.63,1.07,1 - 4,1.07,0.22,Negligible Change,0.22,48.54,30 - 49,48.54,53.61,40 - 59,53.61,0.09,Sparse Data,0.09,30.87,20 - 39,30.87,3.48,Less than 5,3.48,45.11,30 - 49,45.11,0.00,Less than 1,0.00,4.25,3 - 5,4.25,33.56,20 - 34,33.56,54.85,50 - 59,54.85,(D),50 - 64,,0.38,Less than 5,0.38,9.78,Less than 10,9.78,0.00,Less than 1,0.00,68.26,65 - 74,68.26,(D),Less than 5,,2.39,Less than 5,2.39,87.76,85 - 89,87.76,2.92,Less than 5,2.92,5.25,5 - 9,5.25,73.18,65 - 74,73.18
20197,20197,638,500 - 749,638.00,0.11,Sparse Data,0.11,594,"500 - 1,999",594.00,0.07,Sparse Data,0.07,0.24,Sparse Data,0.24,-0.22,Sparse Data,-0.22,0.24,Sparse Data,0.24,0.14,Sparse Data,0.14,-0.16,Sparse Data,-0.16,0.09,Sparse Data,0.09,-0.16,Sparse Data,-0.16,74.5,70 - 89,74.50,0.67,Sparse Data,0.67,2.29,1 - 4,2.29,0.20,Sparse Data,0.20,22.47,15 - 29,22.47,30.16,20 - 39,30.16,0.18,Sparse Data,0.18,24.08,20 - 39,24.08,7.65,5 - 19,7.65,66.42,50 - 69,66.42,0.67,Less than 1,0.67,2.99,1 - 2,2.99,13.15,5 - 19,13.15,58.86,50 - 59,58.86,44.38,35 - 49,44.38,2.47,Less than 5,2.47,4.77,Less than 10,4.77,0.91,Less than 1,0.91,69.87,65 - 74,69.87,0.92,Less than 5,0.92,1.48,Less than 5,1.48,89.66,85 - 89,89.66,5.17,5 - 9,5.17,3.29,2 - 4,3.29,80.88,75 - 84,80.88
20199,20199,281,250 - 499,281.00,-0.15,Sparse Data,-0.15,1587,"500 - 1,999",1587.00,-0.65,Sparse Data,-0.65,0.13,Sparse Data,0.13,0.43,Sparse Data,0.43,-0.14,Sparse Data,-0.14,-0.72,Sparse Data,-0.72,0.12,Sparse Data,0.12,-0.22,Sparse Data,-0.22,-0.33,Negligible Change,-0.33,76.2,70 - 89,76.20,-1.87,Slight Decrease,-1.87,7.60,5 - 9,7.60,-0.54,Negligible Change,-0.54,51.84,50 - 74,51.84,67.99,60 - 79,67.99,0.10,Sparse Data,0.10,40.36,40 - 59,40.36,18.83,5 - 19,18.83,33.97,30 - 49,33.97,0.00,Less than 1,0.00,8.42,6 - 8,8.42,42.53,35 - 49,42.53,54.11,50 - 59,54.11,(D),50 - 64,,0.52,Less than 5,0.52,8.88,Less than 10,8.88,1.29,1 - 4,1.29,65.54,65 - 74,65.54,(D),Less than 5,,3.94,Less than 5,3.94,72.60,Less than 75,72.60,7.12,5 - 9,7.12,9.25,5 - 9,9.25,74.02,65 - 74,74.02
20201,20201,694,500 - 749,694.00,-0.17,Sparse Data,-0.17,757,"500 - 1,999",757.00,-0.50,Negligible Change,-0.50,-0.11,Sparse Data,-0.11,0.06,Sparse Data,0.06,-0.05,Sparse Data,-0.05,-0.52,Negligible Change,-0.52,-0.22,Sparse Data,-0.22,0.60,Negligible Change,0.60,0.25,Negligible Change,0.25,91.8,90 or more,91.80,1.11,Slight Increase,1.11,2.65,1 - 4,2.65,0.40,Negligible Change,0.40,58.79,50 - 74,58.79,64.05,60 - 79,64.05,0.37,Negligible Change,0.37,58.99,40 - 59,58.99,(D),Less than 5,,31.45,30 - 49,31.45,(D),Less than 1,,2.38,1 - 2,2.38,51.46,50 - 64,51.46,63.60,60 - 69,63.60,62.17,50 - 64,62.17,2.40,Less than 5,2.40,6.70,Less than 10,6.70,0.58,Less than 1,0.58,83.88,75 - 89,83.88,(D),Less than 5,,4.59,Less than 5,4.59,80.55,75 - 84,80.55,8.36,5 - 9,8.36,5.91,5 - 9,5.91,76.95,75 - 84,76.95
20203,20203,254,250 - 499,254.00,-0.14,Sparse Data,-0.14,1724,"500 - 1,999",1724.00,-0.20,Sparse Data,-0.20,0.61,Sparse Data,0.61,-0.48,Sparse Data,-0.48,0.30,Sparse Data,0.30,-1.18,Sparse Data,-1.18,-0.04,Sparse Data,-0.04,0.14,Sparse Data,0.14,-0.21,Negligible Change,-0.21,95.2,90 or more,95.20,-1.75,Slight Decrease,-1.75,9.33,5 - 9,9.33,0.16,Negligible Change,0.16,79.99,75 or more,79.99,84.00,80 or more,84.00,0.06,Sparse Data,0.06,51.94,40 - 59,51.94,(D),5 - 19,,13.83,Less than 15,13.83,(D),Less than 1,,5.52,3 - 5,5.52,57.29,50 - 64,57.29,47.35,40 - 49,47.35,(D),35 - 49,,5.63,5 - 14,5.63,4.40,Less than 10,4.40,0.30,Less than 1,0.30,70.96,65 - 74,70.96,0.09,Less than 5,0.09,4.02,Less than 5,4.02,64.96,Less than 75,64.96,10.63,10 - 14,10.63,20.08,20 or more,20.08,75.98,75 - 84,75.98
20205,20205,420,250 - 499,420.00,-0.02,Sparse Data,-0.02,683,"500 - 1,999",683.00,-0.50,Sparse Data,-0.50,0.40,Sparse Data,0.40,-0.02,Sparse Data,-0.02,-0.03,Sparse Data,-0.03,-1.02,Slight Decrease,-1.02,0.28,Sparse Data,0.28,0.64,Sparse Data,0.64,0.41,Negligible Change,0.41,78.6,70 - 89,78.60,-0.74,Sparse Data,-0.74,0.63,Less than 1,0.63,0.76,Negligible Change,0.76,49.35,30 - 49,49.35,62.82,60 - 79,62.82,0.73,Negligible Change,0.73,58.59,40 - 59,58.59,1.07,Less than 5,1.07,34.40,30 - 49,34.40,0.00,Less than 1,0.00,0.89,Less than 1,0.89,49.26,35 - 49,49.26,69.97,60 - 69,69.97,62.93,50 - 64,62.93,1.55,Less than 5,1.55,41.12,40 - 59,41.12,0.01,Less than 1,0.01,91.14,90 or more,91.14,0.00,Less than 5,0.00,6.13,5 - 9,6.13,85.71,85 - 89,85.71,5.71,5 - 9,5.71,5.71,5 - 9,5.71,71.19,65 - 74,71.19
20207,20207,289,250 - 499,289.00,-0.28,Sparse Data,-0.28,979,"500 - 1,999",979.00,0.07,Sparse Data,0.07,0.04,Sparse Data,0.04,-0.16,Sparse Data,-0.16,0.07,Sparse Data,0.07,-0.35,Sparse Data,-0.35,-0.68,Sparse Data,-0.68,-0.35,Sparse Data,-0.35,-0.15,Sparse Data,-0.15,88.8,70 - 89,88.80,(D),Sparse Data,,(D),Less than 1,,-0.45,Negligible Change,-0.45,42.50,30 - 49,42.50,47.85,40 - 59,47.85,-0.35,Negligible Change,-0.35,42.64,40 - 59,42.64,(D),Less than 5,,49.36,30 - 49,49.36,0.00,Less than 1,0.00,0.69,Less than 1,0.69,30.73,20 - 34,30.73,45.94,40 - 49,45.94,37.18,35 - 49,37.18,2.26,Less than 5,2.26,49.06,40 - 59,49.06,1.65,1 - 4,1.65,76.79,75 - 89,76.79,0.00,Less than 5,0.00,2.93,Less than 5,2.93,92.39,90 - 94,92.39,5.19,5 - 9,5.19,1.38,Less than 2,1.38,78.20,75 - 84,78.20
20209,20209,158,Less than 250,158.00,-0.12,Sparse Data,-0.12,78,50 - 179,78.00,0.12,Negligible Change,0.12,-0.21,Sparse Data,-0.21,-0.30,Sparse Data,-0.30,-6.70,Sparse Data,-6.70,-4.44,Sparse Data,-4.44,0.94,Sparse Data,0.94,1.21,Sparse Data,1.21,0.11,Sparse Data,0.11,12.8,10 - 29,12.80,(D),Sparse Data,,5.15,5 - 9,5.15,0.60,Sparse Data,0.60,9.09,5 - 14,9.09,71.13,60 - 79,71.13,0.74,Sparse Data,0.74,67.18,60 - 79,67.18,7.66,5 - 19,7.66,20.60,15 - 29,20.60,0.00,Less than 1,0.00,(D),Less than 1,,52.88,50 - 64,52.88,74.75,70 - 79,74.75,65.84,65 - 74,65.84,1.18,Less than 5,1.18,20.90,20 - 29,20.90,20.47,15 - 24,20.47,73.71,65 - 74,73.71,0.00,Less than 5,0.00,0.00,Less than 5,0.00,86.71,85 - 89,86.71,5.06,5 - 9,5.06,6.96,5 - 9,6.96,82.91,75 - 84,82.91
21001,21001,1154,"1,000 or more",1154.00,-0.25,Negligible Change,-0.25,149,50 - 179,149.00,0.19,Negligible Change,0.19,-0.66,Negligible Change,-0.66,-0.17,Negligible Change,-0.17,0.21,Sparse Data,0.21,-0.58,Sparse Data,-0.58,-0.31,Sparse Data,-0.31,5.54,Sparse Data,5.54,0.04,Sparse Data,0.04,66.3,50 - 69,66.30,-3.14,Sparse Data,-3.14,0.01,Less than 1,0.01,0.56,Sparse Data,0.56,29.62,15 - 29,29.62,44.66,40 - 59,44.66,0.56,Sparse Data,0.56,34.63,20 - 39,34.63,(D),Less than 5,,30.70,30 - 49,30.70,(D),Less than 1,,5.27,3 - 5,5.27,9.60,5 - 19,9.60,68.69,60 - 69,68.69,48.00,35 - 49,48.00,9.24,5 - 14,9.24,19.75,10 - 19,19.75,12.14,5 - 14,12.14,42.38,30 - 49,42.38,0.14,Less than 5,0.14,13.42,10 - 24,13.42,91.94,90 - 94,91.94,5.55,5 - 9,5.55,1.91,Less than 2,1.91,68.54,65 - 74,68.54
21003,21003,1127,"1,000 or more",1127.00,0.14,Sparse Data,0.14,150,50 - 179,150.00,0.22,Negligible Change,0.22,-0.07,Sparse Data,-0.07,0.08,Sparse Data,0.08,-0.09,Sparse Data,-0.09,0.19,Sparse Data,0.19,0.13,Sparse Data,0.13,11.56,Sparse Data,11.56,0.56,Sparse Data,0.56,76.5,70 - 89,76.50,-0.81,Sparse Data,-0.81,0.14,Less than 1,0.14,1.26,Slight Increase,1.26,33.68,30 - 49,33.68,44.00,40 - 59,44.00,1.17,Slight Increase,1.17,29.50,20 - 39,29.50,0.44,Less than 5,0.44,44.66,30 - 49,44.66,0.02,Less than 1,0.02,5.69,3 - 5,5.69,6.13,5 - 19,6.13,64.87,60 - 69,64.87,43.03,35 - 49,43.03,4.57,Less than 5,4.57,14.00,10 - 19,14.00,0.23,Less than 1,0.23,39.65,30 - 49,39.65,1.55,Less than 5,1.55,1.25,Less than 5,1.25,93.52,90 - 94,93.52,3.90,Less than 5,3.90,1.95,Less than 2,1.95,68.15,65 - 74,68.15
21005,21005,774,750 - 999,774.00,0.42,Negligible Change,0.42,106,50 - 179,106.00,0.17,Negligible Change,0.17,0.53,Negligible Change,0.53,-0.01,Sparse Data,-0.01,0.08,Sparse Data,0.08,0.00,Sparse Data,0.00,-0.28,Sparse Data,-0.28,0.00,Sparse Data,0.00,0.04,Sparse Data,0.04,63.4,50 - 69,63.40,-3.82,Sparse Data,-3.82,0.01,Less than 1,0.01,-0.05,Sparse Data,-0.05,22.49,15 - 29,22.49,35.49,20 - 39,35.49,-0.27,Sparse Data,-0.27,27.72,20 - 39,27.72,0.05,Less than 5,0.05,46.92,30 - 49,46.92,0.00,Less than 1,0.00,(D),Less than 1,,1.63,Less than 5,1.63,27.85,Less than 40,27.85,21.66,20 - 34,21.66,6.64,5 - 14,6.64,3.16,Less than 10,3.16,(D),Less than 1,,14.71,Less than 30,14.71,(D),Less than 5,,0.13,Less than 5,0.13,94.19,90 - 94,94.19,2.97,Less than 5,2.97,2.07,2 - 4,2.07,67.83,65 - 74,67.83
21007,21007,295,250 - 499,295.00,-1.24,Slight Decrease,-1.24,320,180 - 499,320.00,-0.30,Sparse Data,-0.30,-0.98,Negligible Change,-0.98,-1.22,Slight Decrease,-1.22,-0.12,Sparse Data,-0.12,-0.74,Sparse Data,-0.74,-0.60,Sparse Data,-0.60,1.02,Sparse Data,1.02,-0.55,Sparse Data,-0.55,59.8,50 - 69,59.80,(D),Sparse Data,,(D),Less than 1,,-0.53,Sparse Data,-0.53,47.70,30 - 49,47.70,79.81,60 - 79,79.81,-0.51,Sparse Data,-0.51,73.86,60 - 79,73.86,(D),Less than 5,,7.91,Less than 15,7.91,0.00,Less than 1,0.00,1.93,1 - 2,1.93,64.88,50 - 64,64.88,73.34,70 - 79,73.34,70.59,65 - 74,70.59,2.29,Less than 5,2.29,55.10,40 - 59,55.10,9.54,5 - 14,9.54,90.90,90 or more,90.90,(D),Less than 5,,26.10,25 - 39,26.10,83.39,75 - 84,83.39,8.47,5 - 9,8.47,6.10,5 - 9,6.10,87.46,85 or more,87.46
21009,21009,1899,"1,000 or more",1899.00,0.05,Sparse Data,0.05,134,50 - 179,134.00,0.26,Negligible Change,0.26,-0.11,Negligible Change,-0.11,-0.26,Negligible Change,-0.26,0.19,Negligible Change,0.19,0.05,Sparse Data,0.05,0.13,Sparse Data,0.13,-0.77,Sparse Data,-0.77,0.08,Sparse Data,0.08,81.3,70 - 89,81.30,-2.42,Sparse Data,-2.42,0.04,Less than 1,0.04,0.34,Sparse Data,0.34,45.32,30 - 49,45.32,55.71,40 - 59,55.71,0.20,Sparse Data,0.20,46.71,40 - 59,46.71,0.08,Less than 5,0.08,35.29,30 - 49,35.29,0.00,Less than 1,0.00,2.23,1 - 2,2.23,17.84,5 - 19,17.84,73.06,70 - 79,73.06,54.84,50 - 64,54.84,8.72,5 - 14,8.72,33.10,30 - 39,33.10,3.08,1 - 4,3.08,55.54,50 - 64,55.54,1.33,Less than 5,1.33,4.63,Less than 5,4.63,90.42,90 - 94,90.42,5.85,5 - 9,5.85,2.74,2 - 4,2.74,77.62,75 - 84,77.62
21011,21011,728,500 - 749,728.00,0.17,Sparse Data,0.17,175,50 - 179,175.00,0.31,Negligible Change,0.31,0.33,Negligible Change,0.33,-0.25,Negligible Change,-0.25,0.24,Sparse Data,0.24,0.04,Sparse Data,0.04,-2.29,Sparse Data,-2.29,0.00,Sparse Data,0.00,-0.48,Sparse Data,-0.48,71.3,70 - 89,71.30,-3.32,Sparse Data,-3.32,0.01,Less than 1,0.01,-0.10,Sparse Data,-0.10,26.19,15 - 29,26.19,36.75,20 - 39,36.75,-0.34,Sparse Data,-0.34,28.48,20 - 39,28.48,0.02,Less than 5,0.02,49.43,30 - 49,49.43,0.00,Less than 1,0.00,0.20,Less than 1,0.20,1.75,Less than 5,1.75,37.35,Less than 40,37.35,27.18,20 - 34,27.18,5.13,5 - 14,5.13,3.92,Less than 10,3.92,1.00,1 - 4,1.00,17.92,Less than 30,17.92,0.10,Less than 5,0.10,1.11,Less than 5,1.11,92.45,90 - 94,92.45,6.59,5 - 9,6.59,0.69,Less than 2,0.69,76.24,75 - 84,76.24
21013,21013,110,Less than 250,110.00,0.87,Sparse Data,0.87,137,50 - 179,137.00,0.32,Sparse Data,0.32,-0.11,Sparse Data,-0.11,0.53,Sparse Data,0.53,1.44,Sparse Data,1.44,1.24,Sparse Data,1.24,0.00,Sparse Data,0.00,0.00,Sparse Data,0.00,1.96,Sparse Data,1.96,6.6,Less than 10,6.60,-2.76,Sparse Data,-2.76,0.03,Less than 1,0.03,2.11,Sparse Data,2.11,1.48,Less than 5,1.48,22.57,20 - 39,22.57,2.27,Sparse Data,2.27,16.82,10 - 19,16.82,0.16,Less than 5,0.16,38.91,30 - 49,38.91,0.00,Less than 1,0.00,0.00,Less than 1,0.00,(D),Less than 5,,17.92,Less than 40,17.92,11.64,Less than 20,11.64,8.24,5 - 14,8.24,0.38,Less than 10,0.38,0.00,Less than 1,0.00,2.55,Less than 30,2.55,0.00,Less than 5,0.00,(D),Less than 5,,86.36,85 - 89,86.36,0.91,Less than 5,0.91,10.91,10 - 14,10.91,68.18,65 - 74,68.18
21015,21015,721,500 - 749,721.00,0.52,Negligible Change,0.52,109,50 - 179,109.00,0.02,Sparse Data,0.02,0.41,Negligible Change,0.41,0.47,Negligible Change,0.47,-0.22,Sparse Data,-0.22,0.69,Sparse Data,0.69,-0.55,Sparse Data,-0.55,5.54,Sparse Data,5.54,0.60,Sparse Data,0.60,50.0,50 - 69,50.00,-1.96,Sparse Data,-1.96,0.13,Less than 1,0.13,0.95,Sparse Data,0.95,23.20,15 - 29,23.20,46.42,40 - 59,46.42,0.68,Sparse Data,0.68,35.68,20 - 39,35.68,0.37,Less than 5,0.37,29.54,15 - 29,29.54,0.00,Less than 1,0.00,0.05,Less than 1,0.05,8.22,5 - 19,8.22,35.07,Less than 40,35.07,34.08,20 - 34,34.08,5.37,5 - 14,5.37,15.33,10 - 19,15.33,(D),Less than 1,,15.11,Less than 30,15.11,0.05,Less than 5,0.05,0.84,Less than 5,0.84,84.19,75 - 84,84.19,8.32,5 - 9,8.32,6.24,5 - 9,6.24,72.95,65 - 74,72.95
21017,21017,915,750 - 999,915.00,0.03,Sparse Data,0.03,187,180 - 499,187.00,0.10,Negligible Change,0.10,-0.09,Sparse Data,-0.09,-0.12,Sparse Data,-0.12,0.49,Negligible Change,0.49,-0.02,Sparse Data,-0.02,-2.44,Sparse Data,-2.44,0.95,Sparse Data,0.95,-0.31,Sparse Data,-0.31,92.1,90 or more,92.10,1.97,Sparse Data,1.97,0.33,Less than 1,0.33,0.00,Sparse Data,0.00,40.39,30 - 49,40.39,43.83,40 - 59,43.83,0.15,Sparse Data,0.15,34.67,20 - 39,34.67,0.88,Less than 5,0.88,50.11,50 - 69,50.11,0.06,Less than 1,0.06,0.49,Less than 1,0.49,8.11,5 - 19,8.11,45.01,40 - 49,45.01,28.15,20 - 34,28.15,8.36,5 - 14,8.36,15.16,10 - 19,15.16,0.67,Less than 1,0.67,39.34,30 - 49,39.34,0.91,Less than 5,0.91,2.63,Less than 5,2.63,82.62,75 - 84,82.62,11.15,10 - 14,11.15,5.25,5 - 9,5.25,76.17,75 - 84,76.17
21019,21019,203,Less than 250,203.00,-0.18,Sparse Data,-0.18,96,50 - 179,96.00,-0.25,Sparse Data,-0.25,0.57,Sparse Data,0.57,-0.47,Sparse Data,-0.47,-1.40,Sparse Data,-1.40,0.96,Sparse Data,0.96,-5.58,Sparse Data,-5.58,0.00,Sparse Data,0.00,-0.48,Sparse Data,-0.48,19.0,10 - 29,19.00,0.31,Sparse Data,0.31,0.13,Less than 1,0.13,-1.43,Sparse Data,-1.43,3.45,Less than 5,3.45,18.12,10 - 19,18.12,-0.44,Sparse Data,-0.44,13.89,10 - 19,13.89,0.26,Less than 5,0.26,52.66,50 - 69,52.66,0.19,Less than 1,0.19,(D),Less than 1,,0.00,Less than 5,0.00,45.38,40 - 49,45.38,20.76,20 - 34,20.76,14.99,5 - 14,14.99,0.17,Less than 10,0.17,0.00,Less than 1,0.00,11.54,Less than 30,11.54,0.00,Less than 5,0.00,0.00,Less than 5,0.00,91.63,90 - 94,91.63,0.49,Less than 5,0.49,5.42,5 - 9,5.42,83.25,75 - 84,83.25
21021,21021,602,500 - 749,602.00,-0.10,Sparse Data,-0.10,147,50 - 179,147.00,0.02,Sparse Data,0.02,0.26,Negligible Change,0.26,-0.13,Sparse Data,-0.13,-0.73,Negligible Change,-0.73,-0.69,Sparse Data,-0.69,-0.14,Sparse Data,-0.14,2.13,Sparse Data,2.13,-0.59,Sparse Data,-0.59,76.8,70 - 89,76.80,-3.52,Sparse Data,-3.52,0.03,Less than 1,0.03,-0.56,Sparse Data,-0.56,31.85,30 - 49,31.85,41.47,40 - 59,41.47,-1.41,Sparse Data,-1.41,29.90,20 - 39,29.90,0.11,Less than 5,0.11,41.57,30 - 49,41.57,0.00,Less than 1,0.00,0.41,Less than 1,0.41,5.14,5 - 19,5.14,41.41,40 - 49,41.41,29.40,20 - 34,29.40,6.68,5 - 14,6.68,9.55,Less than 10,9.55,(D),Less than 1,,26.68,Less than 30,26.68,(D),Less than 5,,(D),5 - 9,,93.36,90 - 94,93.36,3.82,Less than 5,3.82,1.66,Less than 2,1.66,71.93,65 - 74,71.93
21023,21023,531,500 - 749,531.00,-0.35,Negligible Change,-0.35,164,50 - 179,164.00,0.20,Negligible Change,0.20,-0.46,Negligible Change,-0.46,-0.60,Negligible Change,-0.60,-0.05,Sparse Data,-0.05,0.64,Sparse Data,0.64,-3.54,Sparse Data,-3.54,5.54,Sparse Data,5.54,0.00,Sparse Data,0.00,66.0,50 - 69,66.00,-1.92,Sparse Data,-1.92,0.13,Less than 1,0.13,0.44,Sparse Data,0.44,24.66,15 - 29,24.66,37.36,20 - 39,37.36,-0.21,Sparse Data,-0.21,25.37,20 - 39,25.37,0.51,Less than 5,0.51,47.90,30 - 49,47.90,0.00,Less than 1,0.00,0.04,Less than 1,0.04,1.06,Less than 5,1.06,27.24,Less than 40,27.24,20.78,20 - 34,20.78,13.12,5 - 14,13.12,5.15,Less than 10,5.15,0.47,Less than 1,0.47,8.45,Less than 30,8.45,0.63,Less than 5,0.63,1.21,Less than 5,1.21,91.34,90 - 94,91.34,6.97,5 - 9,6.97,1.51,Less than 2,1.51,64.60,55 - 64,64.60
21025,21025,160,Less than 250,160.00,0.83,Sparse Data,0.83,145,50 - 179,145.00,0.30,Negligible Change,0.30,0.24,Sparse Data,0.24,0.28,Sparse Data,0.28,1.03,Sparse Data,1.03,-1.01,Sparse Data,-1.01,-1.83,Sparse Data,-1.83,0.00,Sparse Data,0.00,0.17,Sparse Data,0.17,7.4,Less than 10,7.40,2.53,Sparse Data,2.53,0.11,Less than 1,0.11,-1.35,Sparse Data,-1.35,1.14,Less than 5,1.14,15.48,10 - 19,15.48,-0.05,Sparse Data,-0.05,6.95,Less than 10,6.95,1.61,Less than 5,1.61,24.03,15 - 29,24.03,0.00,Less than 1,0.00,0.00,Less than 1,0.00,(D),Less than 5,,26.57,Less than 40,26.57,19.07,Less than 20,19.07,5.13,5 - 14,5.13,0.95,Less than 10,0.95,0.36,Less than 1,0.36,13.20,Less than 30,13.20,(D),Less than 5,,0.33,Less than 5,0.33,95.00,95 or more,95.00,3.13,Less than 5,3.13,0.00,Less than 2,0.00,72.50,65 - 74,72.50
